publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Annals of the Romanian-German University of Sibiu. Economics (Online)	2392-733X	2392-6791	2013			2015			http://www.roger-univ.ro/Annals/html/archive.html		23926791		fulltext		Editura Burg	serial								F	182018474
Al-Mağallah Al-Dawliyyaẗ Lil Manāhiğ wa Al-Tarbiyyaẗ Al-Tuknūlūǧiyyaẗ (Online)	2735-5101	2735-511X	2020						https://ijcte.journals.ekb.eg		2735511X		fulltext		The Arab Association for Advanced Studies in Scientific Curricula	serial								F	252600681
Ar Rehla (Tulungagung, Online)		2776-7434	2021						https://ejournal.uinsatu.ac.id/index.php/arrehla/index		27767434		fulltext		: Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung	serial								F	255799098
Al-Mağallah Al-Tarbawiyyaẗ Li Taʿlīm Al-Kibār (Online)	2682-2032	2735-3753	2020						https://altk.journals.ekb.eg		27353753		fulltext		Faculty of Education, Assiut University	serial								F	248581619
An-Nur (Jakarta, Online)		2746-0096	2020						https://jurnal.umj.ac.id/index.php/AN-NUR		27460096		fulltext		Fakultas Kesehatan Masyarakat Universitas Muhammadiyah Jakarta	serial								F	252604083
Applied Science, Engineering and Management Bulletin [ASEMB]		3049-3005	2024						https://strjournals.com/index.php/asemb/index		30493005		fulltext		Sihag Technologent and Research Publication Private Limited	serial								F	286847078
Advances in health sciences research	2731-7862	2468-5739	2016						https://www.atlantis-press.com/proceedings/series/ahsr		24685739		fulltext		Atlantis Press	serial								F	244299676
Acta agriculturae Serbica (Online)	0354-9542	2560-3140							http://scindeks.ceon.rs/journaldetails.aspx?issn=0354-9542		25603140		fulltext		Faculty of Agronomy	serial								F	198541201
Acta AVADA (Online)		2351-6399	2014						http://acta.avada.lt/		23516399		fulltext		Akademinė vadybos ir administravimo asociacija	serial								F	188898093
Academic journal of philology (Online)		2980-3179	2022						https://dergipark.org.tr/en/pub/ydyobingol		29803179		fulltext		Bingöl Üniversitesi	serial								F	27539624X
AFRASE (L' )		2801-1473	2020						https://afrase.hypotheses.org/		28011473		fulltext		Association française pour la recherche sur l'Asie du Sud-Est	serial								F	257999469
AI and Tech in Behavioral and Social Sciences		3041-9433	2023						https://journals.kmanpub.com/index.php/aitechbesosci/		30419433		fulltext		KMAN Publication Inc.	serial								F	27858182X
AECEA (Baja California)		2992-7218	2021						https://aecea.com.mx		29927218		fulltext		Academia Estatal de Ciencias Económico Administrativas de los Institutos Tecnológicos en Baja California	serial								F	272381179
Afyon Kocatepe University International journal of engineering technology and applied sciences (Online)		2667-4165	2018						http://ijetas.aku.edu.tr/		26674165		fulltext		AFYON KOCATEPE ÜNİVERSİTESİ GENEL SEK.ÖZEL KALEM	serial								F	240614402
Academic review of humanities and social sciences		2636-7645	2018						http://arhuss.btu.edu.tr		26367645		fulltext		Bursa Teknik Üniversitesi	serial								F	229342930
Acta medica saliniana (Online)	0350-364X	1840-3956	2006						http://www.saliniana.com.ba/index.php?journal=ams&page=issue&op=archive		18403956		fulltext		Univerzitetski klinički centar Tuzla	serial								F	167979299
Agua y territorio	2340-8472	2340-7743	2013						http://revistaselectronicas.ujaen.es/index.php/atma/index		23407743		fulltext		Universidad de Jaén	serial								F	174862946
Acta Iuridica Olomucensia (On-line)	1801-0288	1805-9554	2005						https://www.ceeol.com/search/journal-detail?id=925		18059554		fulltext		Právnická fakulta Univerzity Palackého	serial								F	170291405
Access to justice in Eastern Europe (Online)	2663-0575	2663-0583	2018						http://ajee-journal.com/research-articles		26630583		fulltext		LLC VD Dakor	serial								F	233510648
Al-Mubin (Online)	2746-8240	2746-5535	2020						http://jurnal.iuqibogor.ac.id/index.php/almubin		27465535		fulltext		Institut Ummul Quro Al Islami Bogor	serial								F	252606078
Acta orientalia Vilnensia (Online)	1648-2662	2424-6026	2000						http://www.zurnalai.vu.lt/acta-orientalia-vilnensia/		24246026		fulltext		Vilniaus universiteto leidykla	serial								F	195679717
Airport planning, construction and maintenance journal (Online)	2786-7617	2786-7625	2023						https://journals.nau.in.ua/index.php/apcmj		27867625		fulltext		Nacìonalʹnij avìacìjnij unìversitet	serial								F	269185984
1991. Revista de estudios internacionales		2683-720X	2019						https://revistas.unc.edu.ar/index.php/revesint/index		2683720X		fulltext		Área de Estudios Internacionales, Centro de Estudios Avanzados de la Facultad de Ciencias Sociales, Universidad Nacional de Córdoba	serial								F	241019265
Al-Adalah (Prodi. Hukum Tata Negara, Fakultas Syariah dan Hukum Islam, IAIN Bone - Online)	2406-8802	2685-550X	2016						https://jurnal.iain-bone.ac.id/index.php/aladalah		2685550X		fulltext		Prodi. Hukum Tata Negara, Fakultas Syariah dan Hukum Islam, IAIN Bone	serial								F	241499747
Acoustique musicale		2551-4555	2013						https://gsam.hypotheses.org/		25514555		fulltext		Acoustique musicale	serial								F	198540507
Aktualʹnì pitannâ ekonomìčnih nauk		3041-2129	2024						https://a-economics.com.ua/index.php/home/index		30412129		fulltext		Vidavecʹ Košovij Bogdan-Petro Olegovič	serial								F	280406657
Adıyaman ilahiyat dergisi (Online)		3108-3560	2025						https://dergipark.org.tr/tr/pub/adid		31083560		fulltext	ISSN of preceding title : 2822-6860	Adıyaman Üniversitesi İslami İlimler Fakültesi	serial								F	289322006
AgriEngineering		2624-7402	2019						http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-1324754		26247402		fulltext		MDPI AG	serial								F	238218058
Ajia Taiheiyo ronso (Online)		2434-9054	2020						https://www.jstage.jst.go.jp/browse/transasiapacific/list/-char/ja		24349054		fulltext		Osaka daigaku gurobaru inishiatibu, senta = Center for Global Initiatives, Osaka University	serial								F	276435524
Acta medico-historica Adriatica (Online)	1334-4366	1334-6253	2003						http://hrcak.srce.hr/amha		13346253		fulltext		Adamić	serial								F	08981536X
Advances in Applied Physics (Online)	2367-5632	1314-7617	2013						http://www.m-hikari.com/aap/index.html		13147617		fulltext		Hikari Ltd	serial								F	166605956
AdaptaCôte		2678-6788	2018						https://adaptacote.hypotheses.org/		26786788		fulltext		AdaptaCôte	serial								F	237666618
1st International Congress on Regional Economic Development, Information Technology and Sustainable Business (Online) (The )		2774-7395	2020						http://conference.feb.uns.ac.id/ocs/index.php/incredible/incredible/schedConf/presentations		27747395		fulltext		Fakultas Ekonomi dan Bisnis, Universitas Sebelas Maret	serial								F	253923174
4.P (La Plaine-Saint-Denis)		2556-7691	2014						http://4p.hypotheses.org/		25567691		fulltext		4.P	serial								F	219998078
Acta oto-laryngologica case reports		2377-2484	2016						http://www.tandfonline.com/loi/icro		23772484		fulltext		Taylor & Francis	serial								F	19368750X
Acta cybernetica (Szeged. Online)	0324-721X	2676-993X	1969						http://cyber.bibl.u-szeged.hu/index.php/actcybern		2676993X		fulltext		Univ. Szeged, Inst. Inform	serial								F	240616286
Advanced physics research		2751-1200	2022						https://onlinelibrary.wiley.com/journal/27511200		27511200		fulltext		Wiley-VCH GmbH	serial								F	269113525
American research journal of clinical case reports		2639-3069	2018						https://www.arjonline.org/american-research-journal-of-clinical-case-reports		26393069		fulltext		American Research Journals	serial								F	231019963
Aktualʹnye problemy teorii i praktiki sovremennoj èkonomičeskoj nauki (Online)	2312-0649	2959-5495	2015						http://elib.gsu.by/handle/123456789/39063/browse?type=dateissued&submit_browse=Даты+выпуска		29595495		fulltext		Gomelʹskij gosudarstvennyj universitet imeni Franciska Skoriny	serial								F	270215522
Alexandria Science Exchange journal (Online)	1110-0176	2536-9784	1980						http://asejaiqjsae.journals.ekb.eg		25369784		fulltext		Alexandria University. Faculty of Agriculture. A. M. Balba Group for Soil and Water Research	serial								F	221676449
Alzheimer's & dementia (Online)	1552-5260	1552-5279	2005						https://alz-journals.onlinelibrary.wiley.com/journal/15525279		15525279		fulltext		John Wiley & Sons, Ltd.	serial								F	092224199
Advances in Agriculture & Botanics (Online)	2066-7639	2067-6352	2007						http://aab.bioflux.com.ro/		20676352		fulltext		Bioflux	serial								F	151649936
Advances in basic medical sciences (Online)	2410-6283	2706-7041	2017						http://abms.kmu.edu.pk/index.php/abms/index		27067041		fulltext		Khyber Medical University	serial								F	23856794X
Amerika kyoiku kenkyu (Online)	2433-9873	2436-7192	2018						https://www.jstage.jst.go.jp/browse/jaaes/list/-char/ja		24367192		fulltext	ISSN of preceding title : 2758-111X	Amerika kyoiku gakkai = Japan Association of American Educational Studies	serial								F	269113150
Acta veterinaria Scandinavica (Online)	0044-605X	1751-0147	1959						http://www.actavetscand.com		17510147		fulltext	ISSN of preceding title : 0044-605X	BioMed Central	serial								F	124375804
Adabiyyāt-i pārsī-i mu̒āṣir (Online)	2383-0549	2383-0557	2011						http://contemporarylit.ihcs.ac.ir		23830557		fulltext		Pizhūhishgāh-i ̒ulūm-i insānī va muṭāli̒āt-i farhangī	serial								F	180275763
Agroteknika (Limapuluh kota.Online)	2685-3353	2685-3450	2018						http://www.agroteknika.id		26853450		fulltext		Green Engineering Society	serial								F	237667126
Alzheimer's & dementia. Behavior & socioeconomics of aging		2997-3805	2025						https://alz-journals.onlinelibrary.wiley.com/journal/29973805		29973805		fulltext		Wiley Periodicals on behalf of Alzheimer's Association	serial								F	285768425
Al-Mustashfa (Online)		2549-4112	2016						http://www.syekhnurjati.ac.id/jurnal/index.php/al-mustashfa		25494112		fulltext		Jurusan Muamalah - Hukum Ekonomi Syariah IAIN Syekh Nurjati	serial								F	200120158
Algerian journal of management sciences (Online)	2830-8115	2830-8646	2022						https://www.asjp.cerist.dz/en/PresentationRevue/847		28308646		fulltext		École nationale supérieure de management koléa	serial								F	264938232
Annales mathématiques Blaise Pascal (En ligne)	1259-1734	2118-7436	2007						http://www.numdam.org/journals/AMBP		21187436		fulltext		Université Blaise Pascal, Laboratoire de mathématiques	serial								F	132356430
Advanced energy and sustainability research		2699-9412	2020						http://www.bibliothek.uni-regensburg.de/ezeit/?3010017		26999412		fulltext		Wiley-VCH	serial								F	25454861X
Advanced Journal of Nanochemistry and Medicine		3115-7785	2025						https://ajnm.samipubco.com/		31157785		fulltext		Sami Sajjadifar	serial								F	291157599
Amoxtli (Santiago)		0719-997X	2018						http://amoxtli.cl		0719997X		fulltext		Facultad de Humanidades y Comunicaciones, Universidad Finis Terrae	serial								F	22796389X
Accounting and financial control (Online)	2543-5485	2544-1450	2017						https://businessperspectives.org/journals/j-accounting-and-financial-control?category_id=30		25441450		fulltext		LLC Consulting Publishing Company Business Perspectives	serial								F	203189019
Al-Iltizam (Online)	2654-7902	2614-3860	2016						http://jurnal.iainambon.ac.id/index.php/ALT		26143860		fulltext		Jurusan Pendidikan Agama Islam FITK IAIN Ambon	serial								F	224187260
ACDI Anuario Colombiano de Derecho Internacional (En linea)	2027-1131	2145-4493	2008						http://revistas.urosario.edu.co/index.php/acdi		21454493		fulltext		Editorial Universidad del Rosario	serial								F	151961174
Aisthesis (Santiago. En línea)	0568-3939	0718-7181	2009						http://www.scielo.cl/aisthesis.htm		07187181		fulltext		Instituto de Estética. Facultad de Filosofía. Pontificia Universidad Católica de Chile	serial								F	136371159
Ajad (Online)	2797-2364	2797-2356	2021						http://journal.msti-indonesia.com/index.php/ajad/index		27972356		fulltext		Lembaga Mitra Solusi Teknologi Informasi (L-MSTI)	serial								F	256274622
Annals of hepatology (Internet)	1665-2681	2659-5982	2002						https://www.elsevier.es/en-revista-annals-hepatology-16		26595982		fulltext		Elsevier España	serial								F	24029677X
Al-Khawarizmi (Labuhanbatu, Online)	2747-0261	2747-027X	2020						https://ejurnal.univalabuhanbatu.ac.id/index.php/al-khawarizmi		2747027X		fulltext		Universitas Al Washliyah Labuhanbatu	serial								F	253400678
Africanías (Madrid)		2990-2630	2023						https://revistas.ucm.es/index.php/AFRI/index		29902630		fulltext		Ediciones Complutense	serial								F	271830123
Agritech (Online)	0216-0455	2527-3825	1980						https://jurnal.ugm.ac.id/agritech/		25273825		fulltext		Fakultas Teknologi Pertanian Universitas Gadjah Mada	serial								F	193696932
Agrochemicals		2813-3145	2022						http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-2391021		28133145		fulltext		MDPI	serial								F	264091205
AN:klang (Online)		2960-5679	2023						https://oegmw.at/junge-musikwissenschaft/anklang		29605679		fulltext		Österreichische Gesellschaft für Musikwissenschaft	serial								F	277111226
Anales de la Universidad Metropolitana (En línea)	1315-4109	2790-6620	2022						https://www.unimet.edu.ve/revista-anales/		27906620		fulltext		Universidad Metropolitana	serial								F	261138243
Anais de história de além mar (Em linha)	0874-9671	2795-4455	2000						https://revistas.rcaap.pt/aham/index		27954455		fulltext		Centro de História de Além-Mar - Universidade dos Açores	serial								F	262902346
ADI International Conference Series (Online)	2774-9576	2747-2981	2020						https://adi-journal.org/index.php/conferenceseries/		27472981		fulltext		ADI Publisher	serial								F	253918669
Analecta política (En línea)	2027-7458	2390-0067	2014						http://revistas.upb.edu.co/index.php/analecta/index		23900067		fulltext		Universidad Pontificia Bolivariana	serial								F	182758982
Agri-Tek : jurnal penelitian ilmu-ilmu eksakta (Online)	1411-5336	2580-0035	2000						http://www.unmermadiun.ac.id/ejurnal/index.php/agritek		25800035		fulltext		LPPM Universitas Merdeka Madiun	serial								F	201824655
Al-Fikru (Online)	1978-1326	2721-4397	2008						http://alfikru.staiserdanglubukpakam.ac.id		27214397		fulltext		STAI Serdang Lubuk Pakam	serial								F	244196087
Algazali International Journal of Educational Research (Online)	2623-0259	2655-240X	2018						http://journal-uim-makassar.ac.id/index.php/AIJER/index		2655240X		fulltext		FKIP Universitas Islam Makassar	serial								F	233509704
Annals of engineering		2635-2184	2020			2021			http://imperialopen.com/index.php/AOE/index		26352184		fulltext		ImperialOpen Publishing	serial								F	250064839
Annals of clinical epidemiology		2434-4338	2019						https://www.jstage.jst.go.jp/browse/ace/list/-char/en		24344338		fulltext		Society of Clinical Epidemiology	serial								F	25422251X
Arts & international affairs		2476-0390	2016						http://www.ipsonet.org/publications/open-access/aia		24760390		fulltext		Westphalia Press, and imprint of Policy Studies Organization	serial								F	199310653
Al-Mağallah Al-ʿarabiyyaẗ Al-Dawliyyaẗ Li Dirāsāt Al-Maktabāt wa Al-Maʿlūmāt (Online)	2812-5177	2812-5185	2021						https://aijli.journals.ekb.eg		28125185		fulltext		The Arab Foundation for Knowledge Management	serial								F	267568576
Alytes (Online)	0753-4973	2999-9162	2023						https://www.biotaxa.org/Alytes		29999162		fulltext		International society for the study and conservation of amphibians	serial								F	271701447
American journal of aerospace and aeronautical engineering		2688-108X	2019						https://www.australiansciencejournals.com/ajaae		2688108X		fulltext		Austra & Lian Science Journals	serial								F	237368447
Annals of pulmonology		2643-5985	2017						https://scholarlypages.org/journal.php?jid=pulmonology		26435985		fulltext		Scholarly Pages	serial								F	236452169
Annals of the Ovidius University of Constanţa. Political Science Series	2286-315X	2668-0831	2012						http://annals-politics.univ-ovidius.ro/		26680831		fulltext		Ovidius University Press	serial								F	240173511
Arte y pensamiento en la Edad Moderna y Contemporánea		2530-7150	2016						https://artepensamiento.hypotheses.org/presentacion		25307150		fulltext		Departamento de Historia del Arte, UNED	serial								F	200857983
Animal. Science proceedings		2772-283X	2021						https://www.sciencedirect.com/journal/animal-science-proceedings		2772283X		fulltext	ISSN of preceding title : 2040-4719	Elsevier B.V.	serial								F	256270724
Artificial intelligence in applied sciences (Online)		3108-4060	2025						https://journals.adbascientific.com/aiapp/index		31084060		fulltext		Adba Bilişim ve YayıncılıkLtd. Şti	serial								F	291156614
Al-Maǧallẗ Al-Ǧināʼiyyaẗ Al-Qawumiyyaẗ (Online)	0028-0054	2974-4849	2002						https://ncj.journals.ekb.eg		29744849		fulltext		Al-Markaz Al-Qawmī Lil-Buḥūṯ Al-Iǧtimā'iyyaẗ wa Al-Ǧināʼiyyaẗ	serial								F	271826940
Aksona (Online)		2807-7970	2021						https://e-journal.unair.ac.id/index.php/aksona		28077970		fulltext		Universitas Airlangga	serial								F	25756473X
ARCENG ARCENG (International journal of architecture and engineering) (Online)		2822-6895	2022						https://e-arceng.com/index.php		28226895		fulltext		ASES Kongre Organizasyon Yayıncılık	serial								F	267568851
Archives of public health (Online)	0778-7367	2049-3258	1990						https://www.wiv-isp.be/APH/		20493258		fulltext	ISSN of preceding title : 0778-7367	BioMed Central	serial								F	157674150
African journal of paediatric surgery (Online)	0189-6725	0974-5998	2004						http://www.afrjpaedsurg.org		09745998		fulltext		Medknow Publications Pvt. Ltd.	serial								F	131107682
annales de l'Institut universitaire de formation pour l'enseignement (Les )		3042-7851	2025						https://oap.unige.ch/journals/aiufe		30427851		fulltext		hébergée par la Bibliothèque de l'Université de Genève [pour l'Institut universitaire de formation pour l'enseignement (IUFE) de l'Université de Genève]	serial								F	289456754
Anasay : (Online)		2618-6187	2017						http://dergipark.gov.tr/anasay		26186187		fulltext		İshak Küçükyıldız	serial								F	225266520
Arch (Evanston, Ill.)		2572-5653	2017						https://arch.library.northwestern.edu/		25725653		fulltext		Northwestern University Libraries	serial								F	200794388
ÂSÂR akademik dinî araştırmalar dergisi (Online)		2822-2172	2021						https://asardergisi.com/		28222172		fulltext		Erzincan Binali Yıldırım Üniversitesi Kütüphane ve Dokümantasyon Daire Başkanlığı	serial								F	263431312
American journal of experimental & clinical research (Online)	2330-9237	2330-9245	2014						http://www.ajecr.org		23309245		fulltext		AJECR	serial								F	184173051
Aletheia (Waingapu.Online)	2722-9068	2722-9076	2020						http://jurnal-sttterpadusumba.ac.id/index.php/AJTPK/index		27229076		fulltext		Sekolah Tinggi Teologi Terpadu	serial								F	248579665
Annals of education		2455-6726	2015						http://crsdindia.com/aoe.html		24556726		fulltext		Council of Research and Sustainable Development	serial								F	194030342
Albert·e (L')	3076-923X	3076-2391	2025						https://www.ensad-limoges.fr/		30762391		fulltext		ENSAD Limoges	serial								F	283906464
Amis des études emblémistes en France (AEEF) (Les )		2606-2259	2016						http://aeef.hypotheses.org/		26062259		fulltext		les Amis des études emblémistes en France (AEEF)	serial								F	22466235X
Al Irsyad (Online)		2685-8479	2018						http://ejournal.uinib.ac.id/jurnal/index.php/alirsyad/issue/archive		26858479		fulltext		Prodi Bimbingan Konseling Islam UIN Imam Bonjol	serial								F	241500753
Archives of Medical Sciences. Civilization Diseases		2451-0637	2016						http://www.termedia.pl/Journal/Archives_of_Medical_Science_Civilization_Diseases-101		24510637		fulltext		Termedia Publishing House	serial								F	194029956
'Anil Islam (Online)	2085-4080	2528-7532	2009						http://jurnal.instika.ac.id/index.php/AnilIslam		25287532		fulltext		LP2M Institut Ilmu Keislaman Annuqayah (Instika) Guluk-Guluk Sumenep	serial								F	219996938
Applied research results in vocational education and training		3020-5506	2023						https://arrivet.org/index.php/arrivet/issue/archive		30205506		fulltext		Tknika	serial								F	276923316
Āmūzish-i zabān, adabiyyāt va zabān'shināsī		2645-3428	2018			2023			http://jsal.ierf.ir/		26453428		fulltext		Aḥmad Muḥammadī Nizhād Pāshākī	serial								F	231020473
Annales, Acta Academiae Scientiarum Instituti Bononiensis. Classis Scientiarum Moralium (Online)	2389-6116	3034-8870	2023						https://annalesaccademia.it/classis-scientiarum-moralium/		30348870		fulltext		Bologna university press	serial								F	
Archivos cubanos de gastroenterología		2708-5538	2019						http://www.revgastro.sld.cu/index.php/gast		27085538		fulltext		Sociedad Cubana de Gastroenterología	serial								F	248319655
Art, langage, apprentissage		2265-187X	2012			2018			http://arlap.hypotheses.org/		2265187X		fulltext		[Art, langage, apprentissage]	serial								F	168247917
Ars longa (Internet)	1130-7099	2605-0439	1990						https://ojs.uv.es/index.php/arslonga/issue/archive		26050439		fulltext		Departament d'Història de l'Art de la Universitat de València	serial								F	229341454
Andalas Journal of Electrical and Electronic Engineering Technology (Online)		2777-0079	2021						http://ajeeet.ft.unand.ac.id/		27770079		fulltext		Universitas Andalas	serial								F	25627097X
América (São Paulo. Online)	1982-1212	2675-9926	2018						http://ojs.escoladacidade.org/index.php/america/index		26759926		fulltext		Editora da Escola da Cidade	serial								F	253699169
Al-Maǧallaẗ Al-Dawliyyaẗ Lil Buḥūṯ wa Al-Dirāsāt fi Al-ʿulūm Al-Insāniyyaẗ wa Al-Iǧtimāʿiyyaẗ (Online)	2805-265X	2805-2668	2021						https://adbd.journals.ekb.eg		28052668		fulltext		International Foundation for Human Science	serial								F	257239782
Almaty tehnologiâlyk̦ universitetìnìn̦ habaršysy (Online)	2304-568X	2710-0839	2012						https://www.vestnik-atu.kz		27100839		fulltext		Almaty tehnologiâlyk̦ universitetì	serial								F	253700817
American journal of psychiatry residents' journal		2474-4662	2006						http://ajp.psychiatryonline.org/residents_journal		24744662		fulltext		American Psychiatric Association Publishing	serial								F	198125488
Ahram Canadian Dental Journal (Online)		2974-3087	2022						https://acdj.journals.ekb.eg		29743087		fulltext		Ahram Canadian University	serial								F	264942930
Archaeobios		1996-5214	2007						https://www.arqueobios.org/en/archaeobios-journal/file.html		19965214		fulltext		Centro de Investigaciones Arqueobiológicas y Paleoecológicas Andinas	serial								F	175145288
Aswan Journal of Physical Education and Sports Sciences (Online)	2785-9827	2785-9835	2021						http://ajpess.journals.ekb.eg		27859835		fulltext		Faculty of Physical Education, Aswan University	serial								F	255223773
Alternativa financiera (En línea)	1819-5059	2707-7403	2005						https://portalrevistas.aulavirtualusmp.pe/index.php/AF/index		27077403		fulltext		Facultad de Ciencias Contables, Económicas y Financieras, Universidad de San Martín de Porres	serial								F	243091001
Anais do ... Workshop em Sistemas e Processos Industriais (Online)		2318-4078	2013						http://online.unisc.br/acadnet/anais/index.php/wspi/index		23184078		fulltext		Universidade de Santa Cruz do Sul, Programa de Pós-graduação em Sistemas e Processos Industriais	serial								F	174297254
Arşiv kaynak tarama dergisi (Online)	1300-3755	2602-3024	1991						http://dergipark.gov.tr/aktd		26023024		fulltext		Çukurova Üniversitesi Tıp Fakültesi	serial								F	223600547
Anales (Asociación Física Argentina. En línea)	0327-358X	1850-1168	1988						https://anales.fisica.org.ar/		18501168		fulltext		Asociación Física Argentina	serial								F	113292775
Anatolia antiqua (En ligne)	1018-1946	2823-1090	2014						https://journals.openedition.org/anatoliaantiqua/		28231090		fulltext		Institut français d'études anatoliennes-Georges Dumézil	serial								F	178727296
Anova		2711-1237	2019						https://revistaanova.wixsite.com/anova/publicaciones		27111237		fulltext		Sena	serial								F	242385559
Atlantis highlights in chemistry and pharmaceutical sciences	2731-7897	2590-3195	2019						https://www.atlantis-press.com/proceedings/series/ahcps		25903195		fulltext		Atlantis Press	serial								F	244299897
Arab journal for security studies	1319-1241	1658-8428	2019						https://journals.nauss.edu.sa/index.php/AJSS		16588428		fulltext		Naif Arab University for Security Sciences	serial								F	256163782
ASEAN Journal on Hospitality and Tourism (Online)	1412-2073	2722-2748	2003						http://journals.itb.ac.id/index.php/ajht/index		27222748		fulltext		Pusat Perencanaan dan Pengembangan Kepariwisataan Institut Teknologi Bandung	serial								F	245306234
Analizy i Studia CASP (Online)	2451-0203	2451-0475	2016						http://kolegia.sgh.waw.pl/pl/KES/casp/Strony/Analizy_i_Studia_CASP.aspx		24510475		fulltext		Centrum Analiz i Studiów Podatkowych	serial								F	197214282
Austenit (Online)	2085-1286	2622-7649	2009						http://jurnal.polsri.ac.id/index.php/austenit		26227649		fulltext		Jurusan Teknik Mesin Politeknik Negeri Sriwijaya	serial								F	230855555
Analisis (Online)	2088-9046	2502-3969	2016						http://ejournal.radenintan.ac.id/index.php/analisis		25023969		fulltext		IAIN Raden Intan Lampung	serial								F	192122770
Asian-Pacific journal of second and foreign language education		2363-5169	2016						http://link.springer.com/journal/40862		23635169		fulltext		Springer	serial								F	193687291
Asian Review of Social Sciences (Online)	2249-6319	2583-8091	2012						https://ojs.trp.org.in/index.php/arss/home		25838091		fulltext		Centre for Research and Innovation	serial								F	296166464
Anales de la Universidad Notarial Argentina		3072-6948	2025						https://www.universidadnotarial.edu.ar/analesuna/index.php/revistaanalesuna		30726948		fulltext		Universidad Notarial Argentina	serial								F	284262269
Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)		2162-0989	2012						http://ovidsp.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&PAGE=toc&D=ovft&AN=01599573-000000000-00000		21620989		fulltext		Lippincott Williams & Wilkins	serial								F	169427900
Applied Engineering Letters (Novi Sad. Online)	2466-4677	2466-4847	2016						http://www.aeletters.com		24664847		fulltext		The Association of Intellectuals for the Development of Science in Serbia The Serbian Academic Center	serial								F	195208617
Anthropologie du jeu		2265-1489	2012						http://jeux.hypotheses.org/		22651489		fulltext		[Anthropologie du jeu]	serial								F	168247895
Animus (Santa Maria. Online)	1677-907X	2175-4977	2002								21754977		fulltext		Núcleo de Editoração Multimídia	serial								F	136640974
Annals of minimal access surgery and allied science (Online)	3051-1887	3051-1895	2025						https://journals.lww.com/AMAS/pages/default.aspx		30511895		fulltext		Wolters Kluwer - Medknow	serial								F	286847116
Artisti dei laghi (Gli )		2279-9354	2011						https://mimesisjournals.com/ojs/index.php/artisti-laghi		22799354		fulltext		Mimesis	serial								F	159893518
Anuario digital CEMI		2309-5709	2013			2015			http://www.anuariocemi.uh.cu/index.php/AC/index		23095709		fulltext		Centro de Investigación de Migraciones Internacionales, Universidad de La Habana	serial								F	175150419
Āmāyish va tusi̒ah		2783-2333	2020			2024			http://mag.iuc.ac.ir/		27832333		fulltext		Dānishgāh-i biyn'al- milalī-i Chābahār	serial								F	257561137
Astonjadro (Online)	2302-4240	2655-2086	2012						http://ejournal.uika-bogor.ac.id/index.php/ASTONJADRO/issue/archive		26552086		fulltext		Fakultas Teknik dan Sains, Universitas Ibn Khaldun Bogor	serial								F	233165266
Asosjournal		2148-2489	2013						https://asosjournal.com/		21482489		fulltext		ÖZCAN BAYRAK	serial								F	240163168
Ampersand (Oxford)		2215-0390	2014						http://www.sciencedirect.com/science/journal/aip/22150390		22150390		fulltext		Elsevier Ltd.	serial								F	187160317
Anuarul Şcolii Doctorale Relaţii internaţionale şi studii de securitate (Online)	2668-196X	2668-1978	2019						http://www.editura.ubbcluj.ro/bd/ebooks/pdf/2373.pdf		26681978		fulltext		Presa Universitară Clujeană	serial								F	235221511
Al-Azkiya (Online)	2527-8770	2745-7656	2016						https://journal.iainlangsa.ac.id/index.php/azkiya		27457656		fulltext		Institut Agama Islam Negeri	serial								F	250481162
Arhitekton (Online)	0869-639X	1990-4126	2004						http://archvuz.ru		19904126		fulltext		UralGAHA	serial								F	189153792
Anthropological journal of European cultures (Online)	1755-2923	1755-2931	2008						http://www.jstor.org/action/showPublication?journalCode=anthjeurocult		17552931		fulltext	ISSN of preceding title : 2412-2548	Berghahn Journals	serial								F	131763415
Annales de l'université d'Alger (En ligne)	1111-0910	2600-6952	2017						http://www.asjp.cerist.dz/		26006952		fulltext		Université d'Alger	serial								F	233157611
Asian Journal of Social Science Research (Online)		2600-9706	2018						https://ajssr.unitar.my/		26009706		fulltext		[UNITAR International University]	serial								F	23645000X
Basica (Online)	2809-9710	2797-0965	2021						https://ejournal.insuriponorogo.ac.id/index.php/basica		27970965		fulltext		Program Studi Pendidikan Islam Anak Usia Dini, Fakultas Tarbiyah, Institut Agama Islam Sunan Giri Ponorogo	serial								F	256873933
Aswan University Journal of Sciences and Technology (Online)	2735-3087	2735-3095	2020						https://aujst.journals.ekb.eg		27353095		fulltext		Aswan University	serial								F	257993967
Annali dell'Istituto superiore di sanità (Online)	0021-2571	2384-8553	1965						http://www.iss.it/anna/		23848553		fulltext	ISSN of preceding title : 0370-5811	Istituto Superiore di Sanità	serial								F	180362097
